,term,weight
1448,mayo,0.0150132910477582
2660,wrong,0.014571570568888
359,burnt,0.0144967245789999
327,bread,0.0141935258738441
1169,hot,0.0134618902211203
1109,hard,0.0132838767445669
1475,menu,0.0130864764976596
2053,sauce,0.0127220246822116
2043,sandwiches,0.0124808480013271
2159,sitting,0.0124737552988171
1988,ring,0.0124402685113911
809,employee,0.0118061433530191
2269,star,0.0117835637571488
1363,line,0.011740913014414
1594,nugget,0.0117009260029782
353,bun,0.0114274649804497
1165,horrible,0.0113735769145215
752,drink,0.0112582040800068
716,disgusting,0.0111632607632426
1233,inside,0.0110749955701883
1414,lunch,0.0110391456279702
2650,worse,0.0110306402594136
1348,lettuce,0.0110031657670407
582,coupon,0.0109694258228932
1850,quick,0.0109052364574624
1067,grilled,0.010854218055943
490,combo,0.0108479601975537
1239,instead,0.0108151205135846
2259,staff,0.0107252645014208
1989,rings,0.0106219201419711
288,bit,0.010453371727711
765,dry,0.010378748889926
1814,probably,0.0102658781069587
1630,open,0.0102482750873845
2204,soda,0.0102423748648639
2299,store,0.0101925076928219
1292,kid,0.0100458398134974
2575,waiting,0.0099534725193569
386,care,0.0097784567892403
917,finally,0.0097088165482149
1312,lady,0.0096999471424913
859,experience,0.0096863315429837
2568,visit,0.0095402717417097
2574,waited,0.0093108735389889
902,feel,0.0090021516274585
2013,rude,0.0089467784767136
1419,machine,0.008890189111623
1891,received,0.0088621529831385
1978,review,0.0086825063158954
1595,nuggets,0.0086732527188521
